;source;target;value
466;Jaguar;Pickle;45
467;Summer;Pickle;3
468;Rick;Jaguar;6
469;Jaguar;Rick;5
470;Hunter;Summer;1
471;Summer;Tiny;60
472;Tiny;Rick;58
473;Rick;Tiny;26
474;Tiny;Toby;4
475;Toby;Rick;4
476;Tiny;Summer;37
477;Tiny;Beth;6
478;Goldenfold;Tiny;10
479;Tiny;Morty;9
480;Jerrys;Beth;13
481;Jerry;Tiny;5
482;Tiny;Jessica;4
483;Summer;Jessica;5
484;Rick;Vampire;8
485;Vampire;Rick;6
486;Rick;Mohawk;5
487;Mohawk;Rick;5
488;Rick;Colossus;10
489;Colossus;Morty;5
490;Colossus;Summer;4
491;Rick;Death;16
492;Death;Morty;6
493;Death;Rick;10
494;Death;Eli;4
495;Eli;Rick;4
496;Summer;Eli;19
497;Eli;Summer;21
498;Rick;Mechanical;16
499;Mechanical;Rick;22
500;Summer;Mechanical;4
501;Mechanical;Morty;6
502;Mechanical;Beth;8
503;Beth;Mechanical;5
504;Rick;Arthrisha;70
505;Arthrisha;Rick;54
506;Jerry;Arthrisha;4
507;Rick;Rich;1
508;Rich;Rick;4
509;Rick;Baker;14
510;Baker;Rick;10
511;Man;Morty;6
512;Morty;Michael;3
513;Rick;Michael;1
514;Rick;Samantha;3
515;Jerry;Carla;1
516;Carla;Beth;5
517;Summer;Tommy;5
518;Tommy;Beth;62
519;Rick;Tommy;49
520;Jerry;Kiara;46
521;Kiara;Jerry;41
522;Summer;Kiara;28
523;Kiara;Summer;32
524;Kiara;Rick;9
525;Tommy;Rick;22
526;Kiara;Varrix;5
527;Varrix;Summer;3
528;Jerry;Varrix;11
529;Varrix;Jerry;5
530;Varrix;Kiara;4
531;Beth;Tommy;30
532;Tommy;Tiny;20
533;Tiny;Tommy;20
534;Beth;Tiny;5
535;Tiny;Froopy;5
536;Froopy;Tiny;5
537;Ricks;Tommy;5
538;Math;Jerry;6
539;Beth;Kiara;4
540;Trandor;Kiara;16
541;Kiara;Trandor;11
542;Jerry;Trandor;3
543;Trandor;Summer;4
544;Rick;Kiara;7
545;Kiara;Carmox;1
546;Carmox;Jerry;6
547;Rick;Carmox;6
548;Carmox;Kiara;5
549;Kiara;Michael;5
550;Michael;Rick;8
551;Jerry;Michael;6
552;Marine;Rick;3
553;Rick;Alien;6
554;Alien;Beth;1
555;Rick;Squirrels;6
556;Rick;Needful;16
557;Needful;Rick;5
558;Summer;Needful;9
559;Needful;Summer;18
560;Jerry;Plutonians;11
561;Plutonians;Jerry;8
562;Jerry;Vagina;2
563;Summer;Tate;5
564;Tate;Summer;5
565;Tate;Rick;1
566;Jerry;Scroopy;8
567;Scroopy;Summer;1
568;Scroopy;Jerry;14
569;Needful;Morty;5
570;Jerry;Cynthia;6
571;Cynthia;Summer;5
572;Glenn;Jerry;9
573;Rick;Jon;2
574;Jon;Rick;3
